"x"	"y"	"z"	"r"	"g"	"b"	"a"
"468"	-0.156173	0.0536955	0.497397	130	113	73	255
"469"	-0.153094	0.0524755	0.489217	121	104	66	255
"470"	-0.150057	0.0512603	0.48104	136	121	83	255
"471"	-0.148051	0.0509205	0.479928	139	126	89	255
"472"	-0.146466	0.0509533	0.481845	153	142	109	255
"473"	-0.144327	0.05049	0.479725	144	132	103	255
"474"	-0.142997	0.0507683	0.483657	132	120	91	255
"475"	-0.128924	0.0538928	0.526948	161	146	108	255
"476"	-0.126722	0.0534218	0.524825	131	114	76	255
"477"	-0.111532	0.0526333	0.533006	155	144	109	255
"478"	-0.109198	0.0519306	0.528872	152	138	105	255
"479"	-0.107729	0.052516	0.535802	117	103	70	255
"480"	-0.202628	0.0645978	0.571043	153	139	95	255
"481"	-0.198034	0.0626979	0.557773	157	141	98	255
"482"	-0.195976	0.06246	0.55766	159	141	98	255
"483"	-0.195041	0.0629836	0.563618	152	131	89	255
